,age
0,29
1,0.916700006
2,2
3,30
4,25
5,48
6,63
7,39
8,53
9,71
10,47
11,18
12,24
13,26
14,80
15,9999
16,24
17,50
18,32
19,36
20,37
21,47
22,26
23,42
24,29
25,25
26,25
27,19
28,35
29,28
30,45
31,40
32,30
33,58
34,42
35,45
36,22
37,9999
38,41
39,48
40,9999
41,44
42,59
43,60
44,41
45,45
46,9999
47,42
48,53
49,36
50,58
51,33
52,28
53,17
54,11
55,14
56,36
57,36
58,49
59,9999
60,36
61,76
62,46
63,47
64,27
65,33
66,36
67,30
68,45
69,9999
70,9999
71,27
72,26
73,22
74,9999
75,47
76,39
77,37
78,64
79,55
80,9999
81,70
82,36
83,64
84,39
85,38
86,51
87,27
88,33
89,31
90,27
91,31
92,17
93,53
94,4
95,54
96,50
97,27
98,48
99,48
100,49
101,39
102,23
103,38
104,54
105,36
106,9999
107,9999
108,9999
109,36
110,30
111,24
112,28
113,23
114,19
115,64
116,60
117,30
118,9999
119,50
120,43
121,9999
122,22
123,60
124,48
125,9999
126,37
127,35
128,47
129,35
130,22
131,45
132,24
133,49
134,9999
135,71
136,53
137,19
138,38
139,58
140,23
141,45
142,46
143,25
144,25
145,48
146,49
147,9999
148,45
149,35
150,40
151,27
152,9999
153,24
154,55
155,52
156,42
157,9999
158,55
159,16
160,44
161,51
162,42
163,35
164,35
165,38
166,9999
167,35
168,38
169,50
170,49
171,46
172,50
173,32.5
174,58
175,41
176,9999
177,42
178,45
179,9999
180,39
181,49
182,30
183,35
184,9999
185,42
186,55
187,16
188,51
189,29
190,21
191,30
192,58
193,15
194,30
195,16
196,9999
197,19
198,18
199,24
200,46
201,54
202,36
203,28
204,9999
205,65
206,44
207,33
208,37
209,30
210,55
211,47
212,37
213,31
214,23
215,58
216,19
217,64
218,39
219,9999
220,22
221,65
222,28.5
223,9999
224,45.5
225,23
226,29
227,22
228,18
229,17
230,30
231,52
232,47
233,56
234,38
235,9999
236,22
237,9999
238,43
239,31
240,45
241,9999
242,33
243,46
244,36
245,33
246,55
247,54
248,33
249,13
250,18
251,21
252,61
253,48
254,9999
255,24
256,9999
257,35
258,30
259,34
260,40
261,35
262,50
263,39
264,56
265,28
266,56
267,56
268,24
269,9999
270,18
271,24
272,23
273,6
274,45
275,40
276,57
277,9999
278,32
279,62
280,54
281,43
282,52
283,9999
284,62
285,67
286,63
287,61
288,48
289,18
290,52
291,39
292,48
293,9999
294,49
295,17
296,39
297,9999
298,31
299,40
300,61
301,47
302,35
303,64
304,60
305,60
306,54
307,21
308,55
309,31
310,57
311,45
312,50
313,27
314,50
315,21
316,51
317,21
318,9999
319,31
320,9999
321,62
322,36
323,30
324,28
325,30
326,18
327,25
328,34
329,36
330,57
331,18
332,23
333,36
334,28
335,51
336,32
337,19
338,28
339,1
340,4
341,12
342,36
343,34
344,19
345,23
346,26
347,42
348,27
349,24
350,15
351,60
352,40
353,20
354,25
355,36
356,25
357,42
358,42
359,0.833299994
360,26
361,22
362,35
363,9999
364,19
365,44
366,54
367,52
368,37
369,29
370,25
371,45
372,29
373,28
374,29
375,28
376,24
377,8
378,31
379,31
380,22
381,30
382,9999
383,21
384,9999
385,8
386,18
387,48
388,28
389,32
390,17
391,29
392,24
393,25
394,18
395,18
396,34
397,54
398,8
399,42
400,34
401,27
402,30
403,23
404,21
405,18
406,40
407,29
408,18
409,36
410,9999
411,38
412,35
413,38
414,34
415,34
416,16
417,26
418,47
419,21
420,21
421,24
422,24
423,34
424,30
425,52
426,30
427,0.666700006
428,24
429,44
430,6
431,28
432,62
433,30
434,7
435,43
436,45
437,24
438,24
439,49
440,48
441,55
442,24
443,32
444,21
445,18
446,20
447,23
448,36
449,54
450,50
451,44
452,29
453,21
454,42
455,63
456,60
457,33
458,17
459,42
460,24
461,47
462,24
463,22
464,32
465,23
466,34
467,24
468,22
469,9999
470,35
471,45
472,57
473,9999
474,31
475,26
476,30
477,9999
478,1
479,3
480,25
481,22
482,17
483,9999
484,34
485,36
486,24
487,61
488,50
489,42
490,57
491,9999
492,1
493,31
494,24
495,9999
496,30
497,40
498,32
499,30
500,46
501,13
502,41
503,19
504,39
505,48
506,70
507,27
